year,CountryCode,n_blocks,acceptance_index,CountryName,gdp_per_capita,gini_index,education_spending,urbanization_rate,unemployment_rate
2019,Lithuania,15,7.98,Lithuania,19608.7943945553,35.3,3.9415500164032,67.245735168457,6.255
2019,Luxembourg,15,38.59,Luxembourg,112696.649059674,34.2,3.73705005645752,93.2589839734767,5.592
2019,Malta,15,50.4,Malta,32421.9179752262,31.0,4.79941987991333,94.9332032524644,4.08
2019,Netherlands,15,45.9,Netherlands,53554.9007491475,29.2,5.0559401512146,93.8898028856479,3.379
2019,North Macedonia,15,7.79,North Macedonia,6718.85826635458,33.5,4.921863166909469,60.6286848102132,17.414
2019,Poland,15,8.6,Poland,15874.5220531254,28.8,4.62736988067627,59.9626184068963,3.267
2019,Portugal,15,25.9,Portugal,23343.3628970034,32.8,4.6275200843811,61.114927250613,6.422
2019,Romania,15,12.5,Romania,12909.6104013244,34.8,3.55761003494263,52.8931835224862,3.912
2019,Serbia,15,16.16,Serbia,7755.632986437,34.5,3.45865988731384,61.0492248535156,10.395
2019,Slovakia,15,12.01,Slovak Republic,19406.0589683582,23.2,4.26779985427856,53.3666558664583,5.761
2019,Slovenia,15,16.22,Slovenia,25814.1687167572,24.4,4.93479013442993,55.4523277282715,4.446
2019,Spain,15,33.06,Spain,29786.5245689007,34.3,4.20255994796753,79.6349761108307,14.104
2019,Sweden,15,41.46,Sweden,51648.9892820514,29.3,7.66307020187378,87.7088420242759,6.833
2019,United Kingdom,15,31.55,United Kingdom,43158.7411267323,32.8,5.26116991043091,82.6699420738913,3.657
