CountryName,year,gdp_per_capita,gini_index,education_spending,urbanization_rate,unemployment_rate
IBRD only,2019,6476.07259783679,,3.94555997848511,56.4284852445038,6.06655916125813
IDA & IBRD total,2012,4531.17008727409,,3.63716008451231,47.7241339152613,5.80093134299641
IDA & IBRD total,2019,5167.89523774326,,3.75902209369218,51.6640843924242,5.76721925998948
IDA blend,2012,1844.1586935183,,3.43445992469788,42.9159323176066,4.08486021677751
IDA blend,2019,2205.87361894796,,3.33011705158194,46.0543233703288,5.0804070213856
IDA only,2012,945.581958388053,,2.77231991291046,31.4552181135266,4.57369221767426
IDA only,2019,1186.40559680864,,3.15307114842573,34.362549702073,4.58565537355345
IDA total,2012,1263.41124156596,,2.90706992149353,35.5089070615958,4.39956625407497
IDA total,2019,1544.27890067061,,3.23821222605582,38.4668213219761,4.7623812532015
Iceland,2012,46594.9869146614,26.8,7.58223009109497,93.514892578125,6.0
Iceland,2019,69296.3144361601,26.8,7.60129976272583,93.9770847416131,3.507
India,2012,1429.32199520032,,3.8675000667572,31.5898935604399,7.645
India,2019,2041.42863698585,,3.89732003211975,33.8139578818147,6.51
Indonesia,2012,3632.27254030331,37.1,3.40748000144958,51.1593933105469,4.468
Indonesia,2019,4106.94856160358,35.4,0.964399077622927,55.7382049560547,3.59
"Iran, Islamic Rep.",2012,8114.08099831877,34.4,2.93899989128113,71.7633634041294,12.275
"Iran, Islamic Rep.",2019,3997.4935449585,36.5,3.24005007743835,75.2038879394531,10.74
Iraq,2012,6477.59618450955,29.5,,69.2222213745117,7.965
Iraq,2019,5671.8568632942,,,69.8683395385742,14.096
Ireland,2012,49335.8408099555,33.2,5.70776987075806,62.2529318511038,15.451
Ireland,2019,81827.6688873996,30.3,3.22984004020691,63.2737009154127,4.95
Isle of Man,2012,79329.2034347434,,,52.0555317322629,
Isle of Man,2019,87127.5517977404,,,52.1789898247578,
Israel,2012,33321.4300881602,41.3,5.56122016906738,91.7276502819515,6.762
Israel,2019,44250.6313628073,38.3,6.06899976730347,91.6154002002652,3.731
Italy,2012,34854.3949441965,35.2,4.03481006622315,68.7608794235259,10.655
Italy,2019,33812.788724868,34.6,4.07843017578125,69.5050010681153,9.884
Jamaica,2012,5340.83333232158,,6.1124701499939,54.2478817703732,8.695
Jamaica,2019,6030.68896415921,,5.16364002227783,56.6957957395074,4.987
Japan,2012,49145.2804308193,32.5,3.41945004463196,91.0265277326652,4.358
Japan,2019,40415.9567649547,33.0,3.15533995628357,91.7164207898107,2.351
Jordan,2012,4169.50470054618,,3.63716008451231,84.9592629639423,12.2
Jordan,2019,4170.1144003465,,2.98846006393433,91.515966492507,16.801
Kazakhstan,2012,12018.7966527993,28.2,3.90163701288194,54.69208192838,5.29
Kazakhstan,2019,9457.12614657136,28.0,2.8569700717926,59.0832474269546,4.8
Kenya,2012,1285.00536171512,,4.93122005462646,31.8558130142761,2.678
Kenya,2019,1960.40808854893,,5.37359210998097,31.1895566421135,5.014
Kiribati,2012,1843.55336349889,,12.499488,49.5800786695548,
Kiribati,2019,1750.9977188915,27.8,14.5197413461539,56.2846727145489,
"Korea, Dem. People's Rep.",2012,,,,60.6781140779735,3.542
"Korea, Dem. People's Rep.",2019,,,,62.3542226611578,3.439
