CountryCode,target_group,subset,question_code,question_label,answer,percentage,notes
Spain,All,Genderqueer,DEXaware_eqbod,Knowledge of at least one equality body in country,No,35,
Spain,All,Gender-fluid,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,70,
Spain,All,Gender-fluid,DEXaware_eqbod,Knowledge of at least one equality body in country,No,30,
Spain,All,Agender,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,66,
Spain,All,Agender,DEXaware_eqbod,Knowledge of at least one equality body in country,No,34,
Spain,All,Polygender,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,:, [1] 
Spain,All,Polygender,DEXaware_eqbod,Knowledge of at least one equality body in country,No,:, [1] 
Finland,All,Trans woman,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,64,
Finland,All,Trans woman,DEXaware_eqbod,Knowledge of at least one equality body in country,No,36,
Finland,All,Trans man,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,50,
Finland,All,Trans man,DEXaware_eqbod,Knowledge of at least one equality body in country,No,50,
Finland,All,Trans person,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,67,
Finland,All,Trans person,DEXaware_eqbod,Knowledge of at least one equality body in country,No,33,
Finland,All,Non-binary,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,63,
Finland,All,Non-binary,DEXaware_eqbod,Knowledge of at least one equality body in country,No,37,
Finland,All,Cross-dresser,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,65,‡
Finland,All,Cross-dresser,DEXaware_eqbod,Knowledge of at least one equality body in country,No,35,‡
Finland,All,Genderqueer,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,73,
Finland,All,Genderqueer,DEXaware_eqbod,Knowledge of at least one equality body in country,No,27,
Finland,All,Gender-fluid,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,60,
Finland,All,Gender-fluid,DEXaware_eqbod,Knowledge of at least one equality body in country,No,40,
Finland,All,Agender,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,67,
Finland,All,Agender,DEXaware_eqbod,Knowledge of at least one equality body in country,No,33,
