CountryCode,target_group,subset,question_code,question_label,answer,percentage,notes
Belgium,Trans people,Gender-fluid,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",48,‡
Belgium,Trans people,Gender-fluid,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",21,‡
Belgium,Trans people,Agender,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",0,‡
Belgium,Trans people,Agender,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",31,‡
Belgium,Trans people,Agender,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",51,‡
Belgium,Trans people,Agender,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",18,‡
Belgium,Trans people,Polygender,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",:, [1] 
Belgium,Trans people,Polygender,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",:, [1] 
Belgium,Trans people,Polygender,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",:, [1] 
Belgium,Trans people,Polygender,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",:, [1] 
Bulgaria,Trans people,Trans woman,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",:, [1] 
Bulgaria,Trans people,Trans woman,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",:, [1] 
Bulgaria,Trans people,Trans woman,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",:, [1] 
Bulgaria,Trans people,Trans woman,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",:, [1] 
Bulgaria,Trans people,Trans man,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",4,‡
Bulgaria,Trans people,Trans man,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",0,‡
Bulgaria,Trans people,Trans man,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",38,‡
Bulgaria,Trans people,Trans man,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",58,‡
Bulgaria,Trans people,Trans person,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",:, [1] 
Bulgaria,Trans people,Trans person,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",:, [1] 
Bulgaria,Trans people,Trans person,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",:, [1] 
Bulgaria,Trans people,Trans person,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",:, [1] 
Bulgaria,Trans people,Non-binary,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",0,‡
Bulgaria,Trans people,Non-binary,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",0,‡
