CountryCode,target_group,subset,question_code,question_label,answer,percentage,notes
Bulgaria,Trans people,Trans woman,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,55y.o. or more,:, [1] 
Bulgaria,Trans people,Trans woman,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,Prefer not to say,:, [1] 
Bulgaria,Trans people,Trans man,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,5y.o. or less,17,‡
Bulgaria,Trans people,Trans man,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,6-9y.o.,14,‡
Bulgaria,Trans people,Trans man,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,10-14y.o.,24,‡
Bulgaria,Trans people,Trans man,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,15-17y.o.,29,‡
Bulgaria,Trans people,Trans man,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,18-24y.o.,13,‡
Bulgaria,Trans people,Trans man,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,25-34y.o.,4,‡
Bulgaria,Trans people,Trans man,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,35-54y.o.,0,‡
Bulgaria,Trans people,Trans man,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,55y.o. or more,0,‡
Bulgaria,Trans people,Trans man,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,Prefer not to say,0,‡
Bulgaria,Trans people,Trans person,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,5y.o. or less,:, [1] 
Bulgaria,Trans people,Trans person,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,6-9y.o.,:, [1] 
Bulgaria,Trans people,Trans person,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,10-14y.o.,:, [1] 
Bulgaria,Trans people,Trans person,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,15-17y.o.,:, [1] 
Bulgaria,Trans people,Trans person,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,18-24y.o.,:, [1] 
Bulgaria,Trans people,Trans person,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,25-34y.o.,:, [1] 
Bulgaria,Trans people,Trans person,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,35-54y.o.,:, [1] 
Bulgaria,Trans people,Trans person,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,55y.o. or more,:, [1] 
Bulgaria,Trans people,Trans person,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,Prefer not to say,:, [1] 
Bulgaria,Trans people,Non-binary,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,5y.o. or less,13,‡
Bulgaria,Trans people,Non-binary,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,6-9y.o.,1,‡
Bulgaria,Trans people,Non-binary,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,10-14y.o.,26,‡
Bulgaria,Trans people,Non-binary,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,15-17y.o.,31,‡
Bulgaria,Trans people,Non-binary,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,18-24y.o.,22,‡
Bulgaria,Trans people,Non-binary,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,25-34y.o.,6,‡
Bulgaria,Trans people,Non-binary,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,35-54y.o.,0,‡
